id,created_at,text
674633323080237057,2015-12-09 16:54:52,@bensobsey Ger
672221135027744769,2015-12-03 01:09:42,RT @bo_stevenson: Drew loves @CBudinger the Elf! Go @Pacers https://t.co/qi0hUuBjYC
669938686138703874,2015-11-26 18:00:04,What is everybody thankful for? Mine is family and friends
664098275818098688,2015-11-10 15:12:21,"RT @ACastelan21: My goal for this NBA season is for my favorite basketball player  @CBudinger to tweet back, retweet, or favorite one of my…"
663917033789235200,2015-11-10 03:12:10,RT @will_hart4: Good game tonight fam @CBudinger
663916917372100608,2015-11-10 03:11:42,RT @ZakAKousens: Pretty cool to see someone who went to your high school in a live NBA game @CBudinger @MavLifeSports #1233 https://t.co/1t…
660253048153985024,2015-10-31 00:32:48,Jjjchasethekid
660249650507743233,2015-10-31 00:19:18,Anybody play density xbox1?
658357104449835008,2015-10-25 18:59:00,Heartbreaking news about Flip Saunders. Genuine person and had a great basketball mind.  Prayers go out! RIP
649385002917085184,2015-10-01 00:47:04,Finally watching Ferrell takes the field. So funny!!!
647588541640372224,2015-09-26 01:48:34,Are there any Arizona alumni in Indianapolis?  Big game tomrw against UCLA. Where to watch the game at?
644570634706624512,2015-09-17 17:56:29,RT @RonnieP88: @CBudinger can you please help spread the word for my cousin's battle with Stage 4 cancer? http://t.co/u952hrS1TG #PlattsFig…
644213743958814720,2015-09-16 18:18:20,One of the cool buildings I drive by home from work. #Indy #pacernation http://t.co/sBiT4EQWav
642799805190832129,2015-09-12 20:39:50,RT @duby78947: @CBudinger @Colts I've been waiting for you to get with a team that will play you! The Legend will make sure you play! Miss …
642781619514904576,2015-09-12 19:27:35,Last time I was in Lucas Oil Stadium was in college for the sweet 16 March madness game.
642781268464300032,2015-09-12 19:26:11,I was always a fan of Andrew luck and the @Colts but now I live in Indy I can really support them! #Pacernation
642150201805946880,2015-09-11 01:38:33,Tom Brady is pretty good!  Wow!!!
642146004083568640,2015-09-11 01:21:52,Gronk with first TD of NFL season. #beardown #UofA
642122862506168320,2015-09-10 23:49:55,Football season is here. Hoops follows shorty after! Excited man here!
639083025473540096,2015-09-02 14:30:41,RT @EllisD69: @Pacers most underrated move of the offseason by any team was acquiring @CBudinger.
628378306010689536,2015-08-04 01:33:57,RT @jamiecdockrill: Yo @CBudinger you couldn't give us a RT for my man @Nick3arl birthday ? Cheers !
627958273975517184,2015-08-02 21:44:54,Good job baby bro! Happy for you @KFogg21
627926921221812224,2015-08-02 19:40:18,Rooting for my boy on @espn right now. Let's go @KFogg21
624950147126947840,2015-07-25 14:31:40,Thank you @crustpizza Carmel Valley for your support at Camp. The Kids devoured the food. BEST Pizza http://t.co/rBTkiQ3ZI7
623125308015710208,2015-07-20 13:40:25,Camp starts today! One of my favorite weeks! #LCC http://t.co/tUTwdqEXXj
621054514259431424,2015-07-14 20:31:49,"RT @MattKryger: #Pacers president Larry Bird with newly acquired players Jordan Hill,left, and @CBudinger @IndyStarSports #NBA http://t.co/…"
620383176897081344,2015-07-13 00:04:10,RT @KB_Sports: It was fate that @CBudinger would end up a Pacer!! Picture from when he was recruited during free agency 2 years ago http://…
616048006375170049,2015-07-01 00:57:44,Way to go USA Womens Soccer. #USA #WorldCup2015 #Finals
611027526148751360,2015-06-17 04:28:09,Congrats to the Warriors and Coach Steve Kerr in his first year. Knew he would be a great coach. #BearDown #UofA
610636252098879488,2015-06-16 02:33:22,Check this out! It's a great App http://t.co/irjh6AXKiu
609027033465683968,2015-06-11 15:58:54,Who wins game 4 tonight? #Cavs #Warriors #NBA
608488854551601152,2015-06-10 04:20:22,RT @kobebryant: Cavs playing as if their life is on the line G.S playing as if they have more #NBAFinals down the line #ThisIsNOW #competit…
608073269615325184,2015-06-09 00:48:59,GOOOOAAAAAALLLLLL!!!!!! #USA
608053629409468417,2015-06-08 23:30:56,Letz go USA! #worldcup #USA
600012789470535680,2015-05-17 18:59:31,Clippers or rockets? Who's winning
599081506158456833,2015-05-15 05:18:56,#NBAPlayoffs WHAT a comeback!
593881449326981120,2015-04-30 20:55:45,Congrats to @22wiggins for rookie of the year. Showed a ton of growth throughout this year. Big things to happen for this young man!
593794927420510208,2015-04-30 15:11:57,"""Haters are like crickets."""
591591282981634049,2015-04-24 13:15:27,That shot by curry last night was impressive. He even got fouled
590190084454019072,2015-04-20 16:27:35,Really @united! Little rain and have us delayed on tarmac for 2 1/2 hours just to turn us around and head back to gate! Cancel next prb #Smh
589788317236994048,2015-04-19 13:51:07,RT @SalmanRossD: @CBudinger just saw you on 22nd and 3rd.  Can I get a retweet so my bro believes me?  Go Wolves!
587689059109089281,2015-04-13 18:49:25,@d_albers Drew Albels right?
587670234636484608,2015-04-13 17:34:36,@d_albers yea man. I got you. I'll leave two tix for you at will call
585283248806211584,2015-04-07 03:29:35,That was a great national championship to watch. Both teams played great. Freshman for duke were huge in this game.
584737973075255297,2015-04-05 15:22:51,Rise and grind! Happy Easter
584487393635348480,2015-04-04 22:47:08,Who making it past the final 4??? I had all these teams wrong when making my bracket.
581985586510098432,2015-03-29 01:05:51,Props to Wisconsin for hell of a game. Always a proud Arizona Alumni. Great season. #Arizona  #BearDown #Tradition
581955521344737280,2015-03-28 23:06:23,#Beardown second half!
580934676103192576,2015-03-26 03:29:54,@candicewiggins thanks candice. #SD #represent
579424234750943232,2015-03-21 23:27:57,Proud of how @APlayersProgram  played today. Esp in first half. They lock down defensively. #BearDown #MarchMadness
572181602987479041,2015-03-01 23:48:19,How do I watch walking dead online? Need to catch up on season 5
569317800973504512,2015-02-22 02:08:35,Let's go @APlayersProgram. #BearDown #Espn http://t.co/1GLQmrqnYb
569311370530783232,2015-02-22 01:43:02,RT @iTweet4_zona: Bear Down! @RonDe @_5Gauge @iPass4Zona @IamAaronGordon @GoodmanESPN @Greg_Byrne @milessimon @iRocket3 @CBudinger @TheNicW…
566348407036329984,2015-02-13 21:29:17,My buddy @Curtishadzicki designs these bags! #Swag #JC http://t.co/G7IFrlx6lD
565949317018443776,2015-02-12 19:03:26,"Ohh San Diego, how I have missed you. #heatwave"
565251624487358464,2015-02-10 20:51:03,Need cash to buy game tickets? Let @Sprint cut your Verizon &amp; AT&amp;T rate plan in half! #CutYourBill http://t.co/m24wVe4Kkn
559442572251525120,2015-01-25 20:07:57,"Hey @budlight my buddy @bkelly_32  really wants to go to #upforwhatever in AZ! He only drinks Buds, can you make that happen?"
555201687724781568,2015-01-14 03:16:12,@Ronny_Turiaf @mowilliams yea that man was a BAD MAN tonight. Holy buckets. #52
547797054106267648,2014-12-24 16:52:49,@Goran_Dragic it's not Christmas yet brotha. Lol
