id,created_at,text
672908211494633472,2015-12-04 22:39:54,Join me and @mconley11 in Call of Duty in five minutes. https://t.co/SZCk6AqgEe #ZombieProAm https://t.co/0psStvasKV
672545918151856129,2015-12-03 22:40:16,I'm playing  #BO3  w/  @mconley11  tmrw @ 4:30pCT:  https://t.co/SZCk6AqgEe!  @MountainDew   #GameFuel #ZombieProAm https://t.co/donVUh789q
672146381524496384,2015-12-02 20:12:39,"Join me THIS FRI on @overdog &amp; @Twitch, I'm playing #BO3 w/ @mconley11! @MountainDew #GameFuel #ZombieProAm https://t.co/xTOiBAFi4E"
639601098731319296,2015-09-04 00:49:19,I'm Riding With Goldie and his new single #RideWitMe @devongolder https://t.co/9nS1PFU6ZA
639600978937835520,2015-09-04 00:48:51,Check out my guy Jermaine Taylor with @TNTEliteHoops http://t.co/p9GdjnIyDN
611914259019100161,2015-06-19 15:11:42,I am excited to work with @500level on a t-shirt line #clee #500level line will drop next week http://t.co/Gla77Pjwsj. Check it out!!
608021082944106496,2015-06-08 21:21:37,Another solid workout and now the feast! @ChipotleTweets http://t.co/RBv9IAAym8
607944667397652481,2015-06-08 16:17:58,Great game last night. Who yall got winning now?
606195990303866880,2015-06-03 20:29:21,Great workout and now refueling at my favorite spot @ChipotleTweets http://t.co/joD43BrxgM
505091812185210880,2014-08-28 20:37:26,Ready to see #TheNovemberMan today! @PierceBrosnan always kills it! http://t.co/N41iq49Njl
480760137406107650,2014-06-22 17:12:03,Great workout today with my guy @jasonlmarch http://t.co/2IsD0zuTH7
436958576775401472,2014-02-21 20:20:17,3 Days To Kill hits theaters today!   #3DTK  Check it out: http://t.co/g8rBmYcpNS #Grizz
433680676211011584,2014-02-12 19:15:05,Check out my video starring me and the #RelativityAvengerables http://t.co/xprzjHpLBo
414941704597159936,2013-12-23 02:13:06,All I heard was WorldStar!!!!! Lol damn gots to be mo careful
385486594343702528,2013-10-02 19:29:00,"Checkout @thegame &amp; I talk #therobinhoodproject, music + ball #dopeinterview #CourtneyLeeXTheGame on @artistdirect http://t.co/tiqF44LpUx"
384790434553528320,2013-09-30 21:22:43,"@theweeknd great show in Orlando bro! You gotta checkout a @celtics game soon! Check this on @artistdirect http://t.co/UfXFmrQJQb """
377123663079698432,2013-09-09 17:37:42,RT @DimeMag: Jason Williams Dazzles At The Orlando Pro Am (Video) http://t.co/O0CzKGcIjP
375026468037730304,2013-09-03 22:44:12,"God is good all the time, all the time god is?"
374231351592886272,2013-09-01 18:04:41,Dedication 5!!!!!! 🔥🔥🔥🔥🔥
371072599725719552,2013-08-24 00:52:56,"Good workout today in Cali, with my brutha from anotha.
@chandlerparsons @RMcClanaghanNBA and… http://t.co/OXWh3nPyMV"
371069946026921984,2013-08-24 00:42:23,@NiykeeHeaton like ⏰work!!
371068325888933888,2013-08-24 00:35:57,RT @THatDAmnGEMini: @CourtneyLee2211 he's back!!!!
371059370601099264,2013-08-24 00:00:22,"Good day, killed workouts with @RMcClanaghanNBA and my @RelativitySport debut w/ @ChandlerParsons &amp; @NiykeeHeaton http://t.co/yDUvDVegx8"
333381067232903168,2013-05-12 00:40:15,"@ the Runway To Hope event for children with cancer, and I don't know which to do, Cry for their pain or Smile for their Hope!! #humbled"
330863895449309184,2013-05-05 01:57:54,RT @alist_detailer: Welcome Home @CourtneyLee2211 got my Homie all shined up THANKS FOR ALWAYS SUPPORTING #XQDETAILING
329402786783559681,2013-05-01 01:11:59,RT @BOBKAT612: @CourtneyLee2211 itsNOT oftn a man can mak opportunities4himself But he canPUT hmslf n suchShape tht whn or if th oppurtunit…
328270336644747264,2013-04-27 22:12:01,RT @PaddyMulc: @CourtneyLee2211 ppl just don't get that basketball or any sport isn't everything. Y'all are humans at the end of the day. W…
328265942679302145,2013-04-27 21:54:34,@AustinJ_97 naw I got talked into keeping it by a 10 year old
328265513664929792,2013-04-27 21:52:51,@CelticGirlNesha hi
328265480177598464,2013-04-27 21:52:44,@NicolekayC 👋
328264902445785088,2013-04-27 21:50:26,@whewitsTWill luv ya back
328264842530127876,2013-04-27 21:50:11,@Michaelsousa23 truth!!
328264742525353984,2013-04-27 21:49:48,@xxcheeyxx hi
