id,created_at,text
678038549468442624,2015-12-19 02:26:02,"RT @JakeLFischer: P. George on refs: ""The stripes was terrible... Hopefully the league does a better ... https://t.co/VfWp0XmtBI"
677645957799026688,2015-12-18 00:26:01,RT @redskins3245: @JaredDudley619 Have you picked a game in December for the tickets I won from you. Thanks again ( yes vs Sac on Monday)
677517428847431681,2015-12-17 15:55:17,RT @ryangraves: Old school. Go @Chargers ! ( when you goin to come catch a Wizards game?!!!!! )
677195108077322240,2015-12-16 18:34:30,Repping my BC boys @tocashoes. Get $20 off every pair with code friendsofdudley at https://t.co/XOGzTb37Es
676905816415469569,2015-12-15 23:24:57,RT @DJBamboozle: LA. 1OAK Tonight. If you've never been come experience it. https://t.co/ZrCY7hupPk ( bout to be a movie 😎)
676868592000827392,2015-12-15 20:57:02,Ok just finished practice.. Any of my followers from San Antoine?!!! I need the best Mexican restaurant out here. Never been to a good spot
676436022545113088,2015-12-14 16:18:10,"RT @ShaunKing: #EricHarris Killed by an honorary police officer. Had a viral video. 
Officer was indicted. https://t.co/LP2GuQeLDM"
676429679801188352,2015-12-14 15:52:57,RT @ESPNSteinLine: it's long overdue we add @zaza27 to the MIP race. is third in the league in double-doubles https://t.co/nTx0lMRP5h
676294315757309952,2015-12-14 06:55:04,RT @J89Mike: @JaredDudley619 not true. No fine for handing a ball to someone. You do get fined for throwing the ball into the stands.
676287378986696704,2015-12-14 06:27:30,"RT @HomeOfAthletes: Every time Cam Newton gives a child a ball he is fined $5,512. he has a fine total of $253,552 https://t.co/BkVG3lsOO9"
676227195535101952,2015-12-14 02:28:21,RT @TroWarner: @JaredDudley619 @mbasports2 Thanks Jared much appreciated family!! ( anytime! Enjoy the process )
676226317356929024,2015-12-14 02:24:52,RT @mbasports2: Just talked to my dude @TroWarner confirmed USC Trojans offered him TONIGHT. CONGRATS ON the offer!! ( 👀 Bigtime!!! )
675918935254953988,2015-12-13 06:03:26,"RT @JaredDudley619: RT @DJBamboozle: 
""I LOVE THE GRAM I LOVE THE… https://t.co/8cZ8N5rXXI ( head to my boy IG now!!!! Let's go!!!)"
675915501843927040,2015-12-13 05:49:48,RT @warriorsworld: @JaredDudley619 @DJBamboozle nice of you to take a photo with a fan. (Lol!!!!!!)
675915002906152960,2015-12-13 05:47:49,"RT @DJBamboozle: This is JD! Just wanted to make a special appearance to tell y'all 
""I LOVE THE GRAM I LOVE THE… https://t.co/8cZ8N5rXXI"
675346729311449088,2015-12-11 16:09:42,RT @SpiceJr: 31 at midnight. God is good. ( happy early Bday Boi!!!!! )
675170129974583296,2015-12-11 04:27:57,I need everybody to wish my brother @MilanDudley a happy b day!!bAnd if u can tell him ur favorite brand at Barneys store!! #gothimagiftcard
675043197396099072,2015-12-10 20:03:34,RT @jaredkrouss: @JaredDudley619 Commander’s Palace is the  move.
675042059498209280,2015-12-10 19:59:03,RT @DrewAmsterdam: @JaredDudley619 Emeril's restaurant out there is one of best I have ever been to ( I went to one and wasn't impressed)
675041571881005056,2015-12-10 19:57:07,Off to New Orleans! I have never had some bomb dinner in the NO! I know it's sounds crazy but it's true. Any recommendations? Something nice
674924522127118336,2015-12-10 12:12:00,"RT @Bible_Time: When life is tough, PRAY. 
When life is great, PRAY."
674798027601813505,2015-12-10 03:49:21,Bruh!
674586591101386752,2015-12-09 13:49:11,RT @ATolliver44: His Grace is sufficient! #2blessed2bstressed
674177310321467392,2015-12-08 10:42:51,RT @BdotAdot5: San Diego Wednesday Morning. 😌🌴 #1stTimet #SanDiegoDot ( best city in America!! Let me know if u need any recommendations)
674098717956378624,2015-12-08 05:30:33,"RT @BenMehicNBA: Well, absolutely not. Thoughts on this, @JaredDudley619? https://t.co/leSLDnXU0y (Doc rivers called me this to.. It's ok)"
673511754371084288,2015-12-06 14:38:10,I wanna wish pastor @KeithBattle a happy birthday and thank him for a Great message today.. #Alliances #Finishstrong
