id,created_at,text
668941849248206848,2015-11-23 23:58:59,.@Money23Green- yes sir! Dope action on #SiegeDay. Watch: https://t.co/a00yi2XjE4 #ad
668644873696731136,2015-11-23 04:18:55,RT @hbarnes: 15! #DubNation
667801880475537408,2015-11-20 20:29:10,"It takes a team to win, right @Money23Green? just like in @Rainbow6Game. Lets get it done #DubNation"
665794340598345729,2015-11-15 07:31:55,Dubs win and the cougs win couldn't ask for a better night
665794244964061186,2015-11-15 07:31:32,Gaaaaaaaaaaaabe! Let's go
663515884091084801,2015-11-09 00:38:08,RT @bucketsworth: 35 mins till I'm live with @getshottracker get your questions ready
660985777568944128,2015-11-02 01:04:24,Come hang with me live on @getshottracker https://t.co/UFGZh5MY9V
660927722487595008,2015-11-01 21:13:43,RT @MychelThompson: #ForzaVarese https://t.co/MIuf6lqqrT
659256730262614016,2015-10-28 06:33:47,It's not about the numbers or the individual accolades. It's about these moments u share with your… https://t.co/ssG2AXHVxH
658452526342123520,2015-10-26 01:18:10,The NBA family lost a great guy today. RIP Flip. Sending my condolences to his team and family https://t.co/tu07ZXCjTA
657031121712996352,2015-10-22 03:10:01,Blessed and thankful for the opportunity!!  https://t.co/OuNdACMcd9
655907408531869697,2015-10-19 00:44:47,A tough weekend for the Thompson fam. But also a great weekend of celebration for Paul and Patty who… https://t.co/sVnse88YQW
655366351444275200,2015-10-17 12:54:48,"RT @JayBilas: Almost fell for the bait, almost fell for the hate. And, I'm the same one that let all y'all eat off my plate. I gotta go to …"
655142146618560512,2015-10-16 22:03:54,Happy birthday @brockm12. Too many good times on the Palouse and around the world with my guy! #duplex #boyz #bjornstadstwin
654459180959404032,2015-10-15 00:50:02,Great day to be a warrior https://t.co/ssSFB081an
654395734704287744,2015-10-14 20:37:55,RT @warriors: Watch out SF - @KlayThompson &amp; @Money23Green have the key to the city! 🔑 http://t.co/CsGSQFcaLP
653402880133632000,2015-10-12 02:52:40,RT @Be_LikeIKE: #SKYBLUE ⛅️
653365711331418112,2015-10-12 00:24:59,Rocco's new spot Fort Funtson #SF http://t.co/ayxcxAK2H7
653307486796038144,2015-10-11 20:33:37,RT @getshottracker: Primetime is nearing. Get ready w/ @KlayThompson &amp; our experts +70 new drills. The KT3000 starts 11/1. You in? http://t…
653026936319442944,2015-10-11 01:58:48,Let's go cougs!!! Woooo!!! Too hyped right now
652688675738816512,2015-10-10 03:34:41,Maya Moore cold blooded
651262638228271104,2015-10-06 05:08:07,Thanks for the amazing reception San Jose!! Dubs fans are the best in the world!! #DubNation #TheBaysTeam
650540721267601408,2015-10-04 05:19:29,I would pay a lot of money for an original ABA ball
649985038398783488,2015-10-02 16:31:23,Still can't believe what happened in Roseburg. Sending my thoughts and prayers to the families affected by this unimaginable act of violence
649718161554567168,2015-10-01 22:50:55,DubNation please wish our leader @SteveKerr a speedy recovery. His presence on the floor will be greatly missed during his time off
648285736462979073,2015-09-27 23:58:58,RT @taliqdavis11: Went to go meet klay Thompson http://t.co/K40THKIMvF
647921668266954752,2015-09-26 23:52:18,"RT @Athletics: One pitch, three points! Nice throw @KlayThompson. #GreenCollar 🎥 http://t.co/WudKNx4mY6"
643592169987543040,2015-09-15 01:08:25,"RT @brodiebrazilCSN: Yep, @KlayThompson's bro just went #Splash against the #Athletics. http://t.co/xZkGJyqvH9"
