id,created_at,text
678237159824977922,2015-12-19 15:35:14,"RT @awaczynski: 🕢19.30 -&gt; 🏀 
📍 -&gt; Fuenlabrada
#vamos 💪🏻  #Obra #jornada11 #LigaEndesa #ACB 🇪🇸🇵🇱"
678217971756609536,2015-12-19 14:18:59,Downtown !!!
678216342412124160,2015-12-19 14:12:31,I will have pair of free tickets for tonight's game ! Stay ready:) #Freetickets
678214746814947329,2015-12-19 14:06:10,@SportsCenter @SpearsNBAYahoo hahaha😂😂😂😂😂😂😂😂
678214703483629568,2015-12-19 14:06:00,RT @SportsCenter: Warriors fans retaliate with shirts of their own for tonight's game vs Bucks. (via @SpearsNBAYahoo) https://t.co/jUWBeg1x…
678214326893809664,2015-12-19 14:04:30,RT @daldridgetnt: I’d love to see all you tough Twitter guys tell Shaq or DeAndre to their face that they need to practice more. I really w…
678033751478247424,2015-12-19 02:06:58,@SunsTK @DanMajerle Yeah get a win
677997856230363136,2015-12-18 23:44:20,RT @fifnyszplin: @MGortat :) https://t.co/NMpShqd5HN
677932092190269441,2015-12-18 19:23:00,RT @NBAonTNT: Sager outdid himself last night. 🐍 https://t.co/b0ZvNWNDYC https://t.co/66W8pJWXbN
677931813273247745,2015-12-18 19:21:54,RT @joannamma: Sportowcy pomagają FABIANOWI - KALENDARZ 2016😍 Check FB: Pomagamy dla Fabisia👍🏼 #Fabianek … https://t.co/ObQcPszlJa https://…
677931287487868932,2015-12-18 19:19:48,@Gnoj2013 w co wy sie bawicie ?? Szeryfów internetu teraz ?? Panowie zróbcie cos pożytecznego !
677930780585250816,2015-12-18 19:17:48,@Gnoj2013 to ze powiedziałem ze gra fair play nie znaczy ze go popierałem ..... Mniejsza z tym zreszta!
677865958824878080,2015-12-18 15:00:13,@Gnoj2013 nigdy nie byłem ..... W jego komitecie to nie wiem o czym mówisz !
677850293716033536,2015-12-18 13:57:58,@Gnoj2013 @Rudzki77 a za kim mam być ??? Czy ty widzisz co oni robią ?? Kolego ? Zastanów sie !
677848708675956736,2015-12-18 13:51:40,@kkprzybylski a ja stwierdzam ze jesteś debilem jednak!
677848547669237760,2015-12-18 13:51:02,@WitekZagorski napewno nie ty.
677848367813287936,2015-12-18 13:50:19,@Gnoj2013 @Rudzki77 za sobą!
677848136069611521,2015-12-18 13:49:24,@J_Barankiewicz do widzenia!
677847968641368064,2015-12-18 13:48:44,@Rudzki77 zdecydowanie na nie czekałem .....:))
677689490551500800,2015-12-18 03:19:00,@KButter5 damn Boy!!! Did u do it ... By Urself? 😅
677660192251781120,2015-12-18 01:22:34,@eskaubei @Rudzki77 @przeglad zdrowie podstawa...
677659953067376641,2015-12-18 01:21:37,@jmo7082 thx
677657405581340673,2015-12-18 01:11:30,@eskaubei @Rudzki77 @przeglad jestem już dziadek :))
677657220709015552,2015-12-18 01:10:46,@Amillllo @Rudzki77 @przeglad dokładnie 😂😂😂
677646793866412034,2015-12-18 00:29:20,"RT @Rudzki77: Dziś w @przeglad dobry wywiad z @MGortat - na 90 procent kończy z kadrą, odchodzi niespełniony"
677396746616619008,2015-12-17 07:55:44,"RT @Olcia85: Budze sie, patrze, a @MGortat dzis w nocy mial kolejne Double-Double 20 pkt 10 zb. Tak wiec #NBAVote 😜"
677354456820781056,2015-12-17 05:07:41,@Amillllo dokładnie .....
677351155362430976,2015-12-17 04:54:34,@BlueEyedKasia dzieki
677351129777201152,2015-12-17 04:54:28,@Amillllo SA jest bardzo mocne potrzebujemy wicecej zawodników zeby takie spotkanie wygrać ...:/
677242695371218944,2015-12-16 21:43:35,"RT @CANALPLUS_SPORT: #AskGortat
Ciekawi jesteście, którego z Polaków @MGortat widzi w @nba? Druga część odpowiedzi na Wasze pytania: https:…"
