id,created_at,text
678051194091114496,2015-12-19 03:16:16,@Jay_G135 fa sho tell your fam I said the same bro
678046496168607748,2015-12-19 02:57:36,@Jay_G135 he said wasssup
678036527864238080,2015-12-19 02:18:00,Glad to have the OG here with us for the holidays. We in here listening to Al Green 😭😭 #FOE https://t.co/u6Obg0Rfqv
678000107523072000,2015-12-18 23:53:16,"'My breakdown Game brought me 8 mile fame, sellin m&amp;ms (Eminem) to him and 'em, whites to the… https://t.co/7yJcGbYYeP"
677933988502102016,2015-12-18 19:30:32,RT @FOX5Atlanta: #MISSING: Please call 911 if you see Trevor Greer. Last seen walking toward Bethany Church Rd in Gwinnett County. https://…
677933960404406272,2015-12-18 19:30:26,"'While every song got a rapper dance, I'm drug money like Dapper Dan' Pushhhhhhhhh"
677930673345191937,2015-12-18 19:17:22,King Pushhhhhhhhh 🔥🔥🔥🔥🔥
677930033567019008,2015-12-18 19:14:49,'It ain't nothing but them Tears in the Trap' -Raury 🔥
677680162469711872,2015-12-18 02:41:56,Yeah STEVO!!!!!!
677647483913281536,2015-12-18 00:32:04,"Everything is all well now with my family, thank you for all of your thoughts and prayers!! 💪🏾🙏🏾"
677554029862322177,2015-12-17 18:20:43,"Praying for my former coach and friend Keith Smart, love you man. Prayers up"
677176642549080064,2015-12-16 17:21:07,RT @DonPeqjuan17: @MrAnthonyMorrow @okcthunder from Sunday's game 🏀 https://t.co/aPTxqA4ORN
676986885877727232,2015-12-16 04:47:06,💯💯💯💪🏾 https://t.co/TZjSpUv3Xj
676941384180436992,2015-12-16 01:46:17,This is Classic 😭😭😭😭😭😭 https://t.co/wqup2ds5Ps
676925534199291904,2015-12-16 00:43:18,Wiz tape is 🔥🔥 especially song with King Los
676925145068544001,2015-12-16 00:41:45,"RT @ErikHorneOK: Asked Charlotte native/Panthers fan @MrAnthonyMorrow today for three words to describe the @Panthers: ..... ""Dabb on em."""
676851583208914944,2015-12-15 19:49:27,Bout to see what this Cabin Fever 3 hittin for
676796458767527938,2015-12-15 16:10:24,RT @Free_Throw_Line: At the checkout stand. Anthony Morrow helps make it a special... https://t.co/0OcM6jz11X #Basketball https://t.co/DZG5…
676546154306412544,2015-12-14 23:35:47,"#HolidayaAssists, shopping with the coolest a sisters ever ughsinny_ and staramarie 😭 #thunderup https://t.co/GrIxvpygTq"
676166147742564352,2015-12-13 22:25:46,mood... https://t.co/LB9UwZgGAX
676160250588749825,2015-12-13 22:02:20,@SWolfgang11 😬😬 sorry Sara lol
