id,created_at,text
661212640480509953,2015-11-02 16:05:52,#MondayMotivation “Great works are performed not by strength but my perseverance.” –Samuel Johnson https://t.co/Qs8uIhjAWy
646070343187230720,2015-09-21 21:15:47,#MondayMotivation #Quote “Wake up with #determination. Go to bed with satisfaction.” http://t.co/fYzHK67fWK
643490735552131078,2015-09-14 18:25:21,“A dream plus motivation becomes reality.” #MondayMotivation #Quote http://t.co/yc1b5SMpYg
640959165305896961,2015-09-07 18:45:48,"Happy #LaborDay! “There will be obstacles, doubters, mistakes. But w/ hard work, there are no limits” #Motivation http://t.co/hkh33w6Fhn"
638424913188114432,2015-08-31 18:55:35,#MondayMotivation #Quote #Fitness “If it doesn’t challenge you it won’t change you.” –Fred DeVito @fdevito
630848906008596481,2015-08-10 21:11:14,"#MondayMotivation Work hard, stay humble http://t.co/MOWxaxHkJy"
628351032700088320,2015-08-03 23:45:35,"#MondayMotivation #Quote “A dream doesn’t become reality through magic; it takes sweat, determination &amp; hard work.” –Colin Powell"
625754037510647808,2015-07-27 19:46:03,#MondayMotivation http://t.co/Bv3rvKRpLy
618157674908250113,2015-07-06 20:40:49,#MondayMotivation #Quote “Believe you can and you’re halfway there.” –Theodore Roosevelt #NoMaybes
617366258443505664,2015-07-04 16:16:00,Happy 4th of July Weekend! #4thofjuly #independenceday http://t.co/icW9hzXLlB
615570731582119936,2015-06-29 17:21:13,#MondayMotivation #quote “Every strike brings me closer to the next home run.” – Babe Ruth
614543427275862016,2015-06-26 21:19:05,@TheNBPA @dallasmavs @jjbareapr @UNC_Basketball thanks!
613070030046162950,2015-06-22 19:44:20,RT @AkinAthletics: @AkinAthletics Team/Combine Training w/ @TeamFeltonBBall #WarriorfloW: http://t.co/6JDHmza4IS @RFeltonGBMS @the_skj @The…
613069952665436160,2015-06-22 19:44:01,RT @CoachRHorton: Alumni vs Current UNC players. Alumni Win! @RFeltonGBMS shows he's still quick as a cat &amp; can spin on a dime. http://t.co…
613064095076585472,2015-06-22 19:20:45,#MotivationalMonday “Start where you are. Use what you have. Do what you can.” –Arthur Ashe #Tennis
607930231979175936,2015-06-08 15:20:36,#MotivationalMonday “Strength does not come from physical capacity. It comes from an indomitable will.” – Gandhi
605535677418209280,2015-06-02 00:45:30,#MotivationalMonday “The only place success comes before work is in the dictionary.” – Vince Lombardi
602839980411645952,2015-05-25 14:13:46,Let us remember those who served our country #MemorialDay
599274434176917504,2015-05-15 18:05:33,Supporting @StJude at the #NightofHope Gala tonight in Dallas
599208415831830528,2015-05-15 13:43:13,RT @ACCSports: Eric Montross on Bill Guthridge: 'He was an incredible motivator' - https://t.co/HUf0EX1r6S http://t.co/bUgFtpvI7E
581556558221451264,2015-03-27 20:41:02,BigBrothersBigSisters Pee Dee is hosting a BBQ Cook-Off tonight and tomorrow in Florence. Show them some love @ Darlington &amp; Hoffmeyer Road.
575052237283659776,2015-03-09 21:55:11,#MotivationalMonday “Strength &amp; growth come only through continuous effort &amp; struggle.” #Napoleon
573616910975115264,2015-03-05 22:51:43,Shoutout to @MTVJams premiering the new @kaylabriannax video #Honest all day http://t.co/NAIo2cvPMZ
559865945754460161,2015-01-27 00:10:17,A good head &amp; a good heart are always a formidable combination. - Nelson Mandela #MotivationalMonday
557392140935122944,2015-01-20 04:20:16,"""Love is the most durable power in the world."" - Martin Luther King Jr. #MLKDay #MotivationalMonday #inspiration"
554803798372548609,2015-01-13 00:55:07,Energy and persistence conquer all things – Benjamin Franklin #MotivationalMonday
551785412973563904,2015-01-04 17:01:08,"RT @VinnyChoice: RIP Stuart Scott, your fight will help inspire others to continue fighting!"
550394751359676416,2014-12-31 20:55:09,Congrats nephew @Jalek05 Welcome to the @UNC_Basketball family #GoHeels
548093390618124288,2014-12-25 12:30:22,Merry Christmas
546789036732325888,2014-12-21 22:07:19,Having a ball hosting 100 youth at @TopgolfDallas http://t.co/DzMn0WUooh
