id,created_at,text
676605533676314624,2015-12-15 03:31:44,After we hit the 3 pointer to win the game  https://t.co/dgQHzuGL4b #LanceStephenson #Clippers
664570875828568064,2015-11-11 22:30:18,"#VeteransDay

RT for a chance to win @StephensonLance Signed Sneakers! Winner announced @ 5pm

#GreenLightAVet https://t.co/EgLQSjIZOy"
659778970359955456,2015-10-29 17:08:59,"Throwback Thursday. 
Check out this video on YouTube:

https://t.co/rfn0KQBCTE"
658402380665323520,2015-10-25 21:58:54,"Lance Stephenson Complete Highlight Reel: Indiana Pacers 
THIS IS FOR EVERYONE WHO SAYS LANCE IS TRASH. https://t.co/F0NaixYXat"
657680814595928064,2015-10-23 22:11:39,Watch @StephensonLance drop a dime for the big man @deandrejordan6 👀 https://t.co/gvcHgJmwE3
657442182249365504,2015-10-23 06:23:25,"Clipper Nation, meet @StephensonLance!  👊

https://t.co/xHCtWLc6MT"
635977461369434112,2015-08-25 00:50:17,"THROWBACK / Lance Stephenson Full Highlights at 2008 Elite 24 Classic - 29 Points, BALLING! https://t.co/vkB6KtWlHF @StephensonLance"
630795388547526656,2015-08-10 17:38:34,RT @brenford_: can't wait to get this lance stephenson haircut tomorrow how u getting ur haircut
629718745124962308,2015-08-07 18:20:23,Had to shout roscoes out I love it there. @roscoesofficial: We are honored by your bars ... http://t.co/lnODn30vKe
628048604427501573,2015-08-03 03:43:50,RT @Sizzle3000: Somebody called out Lance Stephenson at a basketball game bruh grabbed a jersey and scored 25pts in 12 minutes AND the W 😂😂…
627259543832104961,2015-07-31 23:28:23,@SLAMonline: Lance Stephenson just dropped a new freestyle on his arrival to LA. Listen to it ... http://t.co/R1wMzTZR1y
627259196124319744,2015-07-31 23:27:00,"RT @BR_NBA: Lance ""Born Ready"" Stephenson drops new song about being excited to be in Los ... http://t.co/bTz5qb0TpL"
626917954073067521,2015-07-31 00:51:02,http://t.co/10lqu8yJXL http://t.co/sPdQxhXpWz
625508901383991297,2015-07-27 03:31:58,@StephensonLance  https://t.co/TQH1xipLY9
618864282898268160,2015-07-08 19:28:37,We need u big bro @deandrejordan6 clippers nation
615093855449264128,2015-06-28 09:46:17,@YouTube video http://t.co/LPNnlXg4vi Lance Stephenson - Be a King (Welcome to the Clippers mix)
614869846761697284,2015-06-27 18:56:09,http://t.co/rrvAHeR7P4 http://t.co/2zJSxKpryr
614595516710588416,2015-06-27 00:46:04,"Check out @StephensonLance ""Poppin"" featuring @kingteeroy from the Workouts to the Booth. http://t.co/rrvAHeR7P4"
613395015801278466,2015-06-23 17:15:42,RT @VoicesOfThKingd: @StephensonLance This is Not the Time to Doubt but the Time to Believe ... http://t.co/9RGBMMEN2E
613169854795788288,2015-06-23 02:21:00,"Getting super confident in my shot, feeling really good also working out with duke up and coming freshmen http://t.co/juRxUdO9u2"
610657816907415552,2015-06-16 03:59:03,Thank you to buzz city and the Hornets organization. While the past year didn't work .... http://t.co/edgMso2SuT http://t.co/MmXZiOTAEk
608727709364019200,2015-06-10 20:09:30,This is easy http://t.co/mlBjLcmB7S
608407929025359872,2015-06-09 22:58:48,"Tag @And1basketball @EBSASports @hornets #BornReadyCrew #StephensonFamIs1Check out this video on YouTube:

http://t.co/f8CKQvxPzZ"
608383253460992001,2015-06-09 21:20:45,http://t.co/kxN14iWhvf
606897475010621440,2015-06-05 18:56:48,Lance Stephenson Hornets 2015 Season Highlights  https://t.co/7e1pnHCsTu   My highlights goin to be way better then this next year watch
606673571557949440,2015-06-05 04:07:05,@and1basketball: #TBT @StephensonLance #AND1 http://t.co/qQAi0HPRwy
604271044241793025,2015-05-29 13:00:18,"#BearcatNation #tbt Before starring in the NBA, @StephensonLance earned conference frosh of year honors as a Bearcat http://t.co/hfmBLzGNpv"
600488101539098624,2015-05-19 02:28:14,@YouTube video http://t.co/pA6mIvPu8N Lance Stephenson Top 10 Plays of Career
567070561369464833,2015-02-15 21:18:52,@HibbettSports @and1 #BornReadyatHibbett. Come see me http://t.co/vtizP78iZp
553343117852962816,2015-01-09 00:10:54,RT @JimmySwank13: This 🔥🔥🔥 @StephensonLance keyboard I'm using. http://t.co/fAa19MHomu how u do that
550529582097793024,2015-01-01 05:50:55,Check out my bro @kingteeroy718 new song http://t.co/zuiUuJqpf4
