id,created_at,text
676527738308571136,2015-12-14 22:22:36,Game Time!!!! #WeArePHX
676189083173961728,2015-12-13 23:56:55,Great team win!! #WeArePHX
676104543197773824,2015-12-13 18:20:59,GameDay!!!!!! #WeArePHX
675173819380801537,2015-12-11 04:42:37,@Dyamon20 yup next time lol
675173714254831616,2015-12-11 04:42:12,@JohnnyS7ORM thanks for coming out
675173553663303680,2015-12-11 04:41:33,@gmoneyaz1983 hope it gives you some inspiration. Keep fighting
675173373836697601,2015-12-11 04:40:51,Thanks for coming outRT @kyletkerch: S/O to @alexlen for taking some pictures and signing some (cont) https://t.co/qGmEgWd4iD
675169804668510208,2015-12-11 04:26:40,Was a pleasure meeting you Godbless you RT @gmoneyaz1983: @alexlen  hey Man I'm glad I skipped (cont) https://t.co/0XhNpVZjAZ
674818654802808833,2015-12-10 05:11:19,#WeArePHX !!!!!!!
674606585893687297,2015-12-09 15:08:38,So happy to be back home playing in front of the best fans in the NBA #WeArePHX
674421664315150336,2015-12-09 02:53:49,Let's Go Terps!!!! #feartheturtle🐢
669959400837292033,2015-11-26 19:22:23,"#SIGFamRT @SportsIntGroup: As #Thanksgiving games kick off, head to https://t.co/OXLApMpong to (cont) https://t.co/wm4MS1Y7vm"
666842848424148992,2015-11-18 04:58:19,Great Win by My Terps!!! #feartheturtle🐢
666500855676321792,2015-11-17 06:19:21,Best Fans in the NBA see you guys Wednesday #WeArePHX
662442952640172032,2015-11-06 01:34:42,Who coming to the game tomorrow? #WeArePHX
662146096362229760,2015-11-05 05:55:06,Best Fans in the NBA!!!!! #WeArePHX
661302649308901376,2015-11-02 22:03:32,"RT @APS_Rich: Shout out 2 @alexlen great game &amp; for trivia prize, just got my autographed Team-Len t-shirt today #WeArePHX https://t.co/6KV…"
659201759844237312,2015-10-28 02:55:21,Winner. Check your DM RT @APS_Rich: @alexlen chess https://t.co/sDlVtmskYL
659200786216284160,2015-10-28 02:51:29,Sorry got distracted by my favorite hobby...question is what is my favorite hobby?? AlexLenTrivia #WeArePHX
659196160045780992,2015-10-28 02:33:06,Ok one last one for a signed Team Len shirt #AlexLenTrivia #WeArePHX
659194956309925889,2015-10-28 02:28:19,Good D
659183066120720384,2015-10-28 01:41:04,Layup lol check your DM RT @TheRealJoe_D: @alexlen fogo de chao
659182296197566464,2015-10-28 01:38:01,Hint: used to go there with my Brazilian bro Blur!
659181010463010816,2015-10-28 01:32:54,@JacobPadilla_ used to be! #terps
659180218234474496,2015-10-28 01:29:45,Hard one... #WeArePHX #AlexLenTrivia
659178276393381888,2015-10-28 01:22:02,"Here we go...for a signed shirt, this one should be fun:
What's my favorite restaurant in PHX?? #AlexLenTrivia #WeArePHX"
659176462805676032,2015-10-28 01:14:50,"Couple people asked for more t-shirts, let's do a couple more... #AlexLenTrivia #WeArePHX"
659163729242685440,2015-10-28 00:24:14,"Congrats check your DMRT @TheDerrickHolt: @alexlen Antratsyt, named after its large supply of anthracite, a type of coal"
659161812286345217,2015-10-28 00:16:37,"First correct one gets tickets:
What's the name of my hometown and what is it named after?! #AlexLenTrivia #WeArePHX"
659160327402057728,2015-10-28 00:10:43,Next question is for tickets to the game tomorrow!! Ready??#WeArePHX #AlexLenTrivia
659159518371143680,2015-10-28 00:07:30,RT @TichaPenicheiro: GAME TIME!!!! 😜
659157973109862400,2015-10-28 00:01:22,@JohnnyS7ORM check your DM
659157546490445824,2015-10-27 23:59:40,"A real Alex Len fan right here lol Congrats yup I have my Mom name on my left wrist RT @JohnnyS7ORM: @alexlen mom's name, Juliya"
659156797702303744,2015-10-27 23:56:41,This may be tough most people don't even know I have a tattoo...
659156371837861888,2015-10-27 23:55:00,"Second question for a signed Team Len shirt: I only have one tattoo, what's it say #AlexLenTrivia https://t.co/CxrLCVdJu6"
659155867292405760,2015-10-27 23:52:59,Yep check dm RT @ihasan_: @alexlen 13 #AlexLenTrivia #WeArePHX
659153735348695040,2015-10-27 23:44:31,"First up for a signed t shirt, at what age did I start playing bball?? #AlexLenTrivia #WeArePHX https://t.co/XqUhnhCZ18"
659151499243601920,2015-10-27 23:35:38,Let's give away some free stuff! Who's ready? #AlexLenTrivia #WeArePHX
659149705218125824,2015-10-27 23:28:30,@sahmad95 lol nice
659149096473636864,2015-10-27 23:26:05,Who's ready for tomorrow night? #WeArePHX
658843950266998784,2015-10-27 03:13:33,Having a great time at the game Phoenix fans are the best #WeArePHX
658802495930568704,2015-10-27 00:28:49,#WeArePHX !!!!RT @JohnnyS7ORM: @alexlen Go Cards! See you Wednesday bro 😊☀️🏀 Go Suns!
658801540921094144,2015-10-27 00:25:01,@guppnoy831 Cards all day!!!
658800062173020161,2015-10-27 00:19:09,On my way to the Ravens vs. Cardinals game
657686739322978304,2015-10-23 22:35:12,I'm giving away tickets for our season opener against Dallas stay tuned for details.... #WeArePHX
652605251447427072,2015-10-09 22:03:11,@MGortat thanks bro
652589290594021376,2015-10-09 20:59:46,RT @SLAMonline: .@AlexLen was born and bred in Ukraine—and he still reps for his country every time he steps on the floor: http://t.co/UTAu…
625074478427602944,2015-07-25 22:45:43,🐢!!!!RT @chloifornia: @alexlen was on my sister's flight to Miami #terpnation
624006414353068032,2015-07-23 00:01:37,Just got my new @RenegadeMovemnt! Everyone check them out! Only place to get them! Tell them Alex sent you for 100$ off!!!
619624588473843712,2015-07-10 21:49:48,@cpasion8 yup!!
619624195069079552,2015-07-10 21:48:14,Nice Boss lolRT @noahmcook: As founder and CEO of the @alexlen fan club I had to rep the jersey. (cont) http://t.co/xfiFyZEAay
619623822682030080,2015-07-10 21:46:46,Hi👋🏻RT @MSemerad13: Just saw @alexlen in the airport #toonervoustosayhi #WeArePHX
601912949188468736,2015-05-23 00:50:04,Great time visiting @stancehoops hq today and seeing new @nba game socks. Huge thank you to @TTwersky for hosting us! http://t.co/wKTnjxdsUP
