id,created_at,text
671854732294488065,2015-12-02 00:53:45,RT @chicagobulls: When Derrick Rose surprises you with a shopping spree! #NBACares https://t.co/K4tjjI1Nyr
671854710777708544,2015-12-02 00:53:40,"RT @chicagobulls: As part of #NBACares Season of Giving, @drose took teens from @AftrSchoolMttrs on a shopping spree to @adidasHoops! https…"
664508326500175873,2015-11-11 18:21:45,Looking for the Yeezy 350 boost?  Go check out adidas Style Chicago at 50 East Oak Street. Raffle sign up ends Thursday at 5pm.
662660453651247104,2015-11-06 15:58:58,"Thanks for all the love on my PJ shirt, get yours at https://t.co/mDMQdEK9tH 

@richgirlcandy @ziptanks https://t.co/nHrxG53pw9"
591067194064130049,2015-04-23 02:32:55,My guys #JoakimNoah and #PauGasol are finalists for the #NBACommunityAssist award. RT to cast your vote
510502678053404672,2014-09-12 18:58:17,Thank you @luciamartinez1_ for the gift! Keep working hard http://t.co/XrNjiHgu01
426473894808018944,2014-01-23 21:57:54,Usually don't post pics but couldn't help it. Thanks @adidasHoops for the HARD work! It motivates me to keep GRINDING http://t.co/WIlRUE32Yc
422213627823652865,2014-01-12 03:49:07,CDR I'm happy to see you back. You deserve it man
344554982789505025,2013-06-11 20:41:24,In the gym working out listening to Born Sinner. @JColeNC you made me a believer. I appreciate yo music. I'll be supporting June 18th.
309792189536415746,2013-03-07 22:26:28,"I'm just having a bad day and want u to know ""The Boy"", lol, does have down days but thinking about yall having my BACK makes me feel good."
309792180799672320,2013-03-07 22:26:26,"Bren Bren lol, Wayne, Reg, Greedy and the rest of the Rose family I LOVE U."
309792098662612992,2013-03-07 22:26:06,"What's the most important thing in life? To me, it's FAMILY...If you take away the fame &amp; fortune they're the ones that will always be there"
290566110225514496,2013-01-13 21:08:54,Anything is possible. #blessed http://t.co/H5x9eYag
273519713647226880,2012-11-27 20:12:36,I'm all in for my fans RT @adidashoops: WORLD PREMIERE: #TheReturn of @drose Episode 6 - all in http://t.co/B7zVbokU
265815775498104832,2012-11-06 13:59:54,My lil man PJ http://t.co/6dCsbhyT
265815553422266368,2012-11-06 13:59:01,http://t.co/MPeEokAT
265815471260065793,2012-11-06 13:58:42,http://t.co/fcY9VW95
260095672592769024,2012-10-21 19:10:15,because five year went pass and it seem like I just left there! Be safe and Gotti what's up!
260095475884113920,2012-10-21 19:09:28,I just wanted to get that off my chest and let yall know that I miss everything about that city
260095282182758400,2012-10-21 19:08:42,I know yall remember the good times we had and how we had to make a name for ourselves.
260094549848891392,2012-10-21 19:05:47,had. Memphis will always be my second home no matter what! Yall showed me a lot of love and for that I will always stay loyal to you all.
260094365320503298,2012-10-21 19:05:03,I was up early thinking about how time goes by. I miss the times I had at the University of Memphis with my teammates and how much fun we
259322689666289665,2012-10-19 15:58:41,RT @adidasHoops: WORLD PREMIERE: #TheReturn of @drose Episode 5 - Drive http://t.co/ndar6ke4
