id,created_at,text
677273881611120640,2015-12-16 23:47:31,"Thank you, Abby. #oneofakind #184in90 https://t.co/EnNeQI1Ci4"
676837245421142016,2015-12-15 18:52:28,Inside the #Kobe11 launch yesterday. Take a look https://t.co/4iYncPJObN
674816291618865152,2015-12-10 05:01:56,Welcome to the @DrinkBODYARMOR family @kporzee https://t.co/NrDzccP2d9
671113940584275968,2015-11-29 23:50:06,Dear Basketball:  https://t.co/KDecft6BO2  #KB20
670344135048429570,2015-11-27 20:51:10,Happy birthday to the great Bruce Lee  #BruceLee75 #legend
662142364056739840,2015-11-05 05:40:16,Gotta love this game. Watch the full #81hourchallenge #highlights on https://t.co/v3NryNO8oy https://t.co/DNriIQdN5k
659118979080843264,2015-10-27 21:26:25,"Thank you @AbbyWambach for all that you are, have been and will be  You are a true muse #oneofakind"
659055058982535169,2015-10-27 17:12:25,Proud 2 join the @playerstribune team to help athletes discover the power of storytelling &amp; owning your voice. #AthleteVoice #VoiceoftheGame
658449761205284864,2015-10-26 01:07:11,Think you have basketball skills? Let’s see what you got. #81HourChallenge https://t.co/v3NryO5Jg6 https://t.co/ifPokgfY2R
658396420370665472,2015-10-25 21:35:13,#RIPFlipSaunders
658328265292050432,2015-10-25 17:04:24,Bryant's can't wait to see @pattyduke_id on #LivAndMaddie Sun. 10/25 on @DisneyChannel @JohnDBeckTV #GrandmaARooney https://t.co/6FDt89yrZI
654761586595266560,2015-10-15 20:51:41,#justpray http://t.co/anLldzod6I
652490826354823168,2015-10-09 14:28:30,RT @SBNation: Thabo Sefolosha found not guilty on 3 charges following NYPD incident that broke his ankle. http://t.co/QvkBmN7aSx http://t.c…
651461392373972992,2015-10-06 18:17:54,"RT @NBA: ""I view him like a brother &amp; always will."" - @KobeBryant on @realtuffjuice.

Caron Butler's #TuffJuice, out tomorrow! http://t.co/…"
650331745313619969,2015-10-03 15:29:05,👍👍  https://t.co/bbfHYlYY1b
649072708072833025,2015-09-30 04:06:07,"Bright future ahead for @jewellloyd, great story on the rise of the new Rookie of the Year http://t.co/Y6x3LuPiQ8 #MambaArmy"
644194986070831105,2015-09-16 17:03:47,Now I’m in the Beautiful Game! Bring on #FIFA16. #PlayBeautiful @easportsfifa http://t.co/0TxGV6OEew #ad https://t.co/yTjZCx5kep
643290802379075585,2015-09-14 05:10:53,Congrats @DjokerNole and @rogerfederer two of the all time greats #muses
643082367632982016,2015-09-13 15:22:38,#Rip to the great Moses Malone
643078502170820609,2015-09-13 15:07:17,Congrats cuz! Proud of you  https://t.co/orby2AU3sJ
642923808354009088,2015-09-13 04:52:35,49-0 #saynomore #TBE
642019986593050624,2015-09-10 17:01:07,RT @NBA: 'Once-in-a-lifetime player' @LisaLeslie charts path for others (via @Powell2daPeople) http://t.co/2hJ5SSCzdp http://t.co/9uUc06CheO
640296294188101632,2015-09-05 22:51:47,@Yimlife1313 YES!! Great comeback win!!  #USOpen
639604401590571008,2015-09-04 01:02:27,"RT @realtuffjuice: #TBT 
A1 since day 1 @kobebryant https://t.co/gTdXlhRQKd"
639296808137523200,2015-09-03 04:40:11,👌👍 https://t.co/ixqqqyD9Hm
639224394628251648,2015-09-02 23:52:26,What you are doing @Zendaya with this project is amazing and selfless Proud of u lil sis http://t.co/yXXgBJ7iYu
637021050065125376,2015-08-27 21:57:08,#RIPDarrylDawkins #ChocolateThunder
636950177526321154,2015-08-27 17:15:30,RT @SHAQ: Glad me and @kobebryant got to talk it out. Stay tuned to @podcastone and @shaqfuradio to hear the chat #best1-2 Eva http://t.co/…
636909946567704576,2015-08-27 14:35:39,@icecube @OsheaJacksonJr @drdre haha that's wats up!
636803937090170880,2015-08-27 07:34:24,Finally got the chance to watch #StraightOuttaCompton @icecube @OsheaJacksonJr @drdre #offthecharts #pioneers
635519503707668480,2015-08-23 18:30:31,Thank you everyone for the birthday wishes!! #17to37 #vino #leovirgo
635077724663451648,2015-08-22 13:15:03,"RT @taylorswift13: Tonight @kobebryant surprised me with a banner in @STAPLESCenter for the most sold out shows. You did that. Love you
htt…"
635077559848308736,2015-08-22 13:14:24,My pleasure @taylorswift13 Keep breaking records and changing lives #1989TourLA  https://t.co/MNCvXOpXPk
633341212905222144,2015-08-17 18:14:46,My reaction to critics is the same as my reaction in the vid #excuseme  https://t.co/Y7w4TnAow0
632369455033532416,2015-08-15 01:53:21,Ha! All luv lil bro lets shock da world this season #history  https://t.co/IByKOGwFxn
632367332262711296,2015-08-15 01:44:55,😴 https://t.co/Bntj1e5PsY
631536495615021056,2015-08-12 18:43:28,Honored to be a part of growing @DrinkBODYARMOR from the ground up #upgradeyoursportsdrink  #BAfam http://t.co/wnnsb3M36I  #keeppushin
629821483200557057,2015-08-08 01:08:37,RT @nikebasketball: Building a legacy one city at a time. @KobeBryant’s tour continues in Taiwan. #ALLFORTHEGAME http://t.co/Fdbeo4ZnAc
