id,created_at,text
634499581275963392,2015-08-20 22:57:43,"RT @memgrizz: . @UncleJeffGreen #FaceTimeSurprises @LeBonheurChild Cody, who is recovering from the same heart surgery as Green.
https://t.…"
622562704079912960,2015-07-19 00:24:49,"#NP @Tyrese ""Black Rose""....Classic R&amp;B soul. Thanks for the masterpiece..Everyone go out and get that album"
622082200444473345,2015-07-17 16:35:28,#DS2
622078283610505217,2015-07-17 16:19:55,hahahahaha RIGHT ON!! https://t.co/JUnLPbSnYb
622076874571825152,2015-07-17 16:14:19,RT @NBA_Africa: #TeamWorld: @CP3 @KennethFaried35 @RealDealBeal23 @NikolaVucevic @paugasol @MarcGasol @unclejeffgreen @smart_MS3 &amp; @thekide…
618975423578423297,2015-07-09 02:50:15,😂😂😂😂 https://t.co/fMa39ACNKi
618965094391787521,2015-07-09 02:09:12,🌾👀🌾⏰
618497189631918080,2015-07-07 19:09:55,I see you @Sir_Saudade
617834658580037633,2015-07-05 23:17:16,Omg WTH WTF...Name this day July 5th.. @CarliLloyd Day lmao ...Unbelievable!!!
617832132703047680,2015-07-05 23:07:13,Wow @CarliLloyd is amazing
616626232613056512,2015-07-02 15:15:24,Congrats to my Brodie @M10OSE on his new deal and new home. Bucks got a #BEAST #GTownFam #Hoyas #DoWorkSlim
616309407811534848,2015-07-01 18:16:27,S/O to @thereasn check out his new video #BlueFlame premiering today on @fusetv! http://t.co/vkizqmNx13
616040808945451008,2015-07-01 00:29:08,USA!! USA!! USA!!
615331620879515648,2015-06-29 01:31:05,#BaaaadddBooooyyyyyy
615311258498174976,2015-06-29 00:10:10,Kendrick Lamar...Damn slim #WeGonBeAlright #FavoriteArtist
597137969535950848,2015-05-09 20:36:00,#MyTwin  https://t.co/Z7KfeVcxox
591325810738376704,2015-04-23 19:40:34,RT @Ballislife: Check out Jeff Green &amp; the Top 15 Dunks of the Year: http://t.co/T9Y8qZCwoX http://t.co/FygCw1yoJh
591325425344716800,2015-04-23 19:39:02,RT @memgrizz: #AllHeart Surgery Heroes: Matthew McCarter &amp; @UncleJeffGreen. Watch &gt; http://t.co/uHlhTfVzBW @LeBonheurChild http://t.co/wQic…
591072104939974656,2015-04-23 02:52:26,"RT @LeBonheurChild: #Allheart comes in all sizes. Let's go @memgrizz! Thank you, @unclejeffgreen! #believememphis #gritgrind http://t.co/xH…"
590883414649217024,2015-04-22 14:22:38,RT @LaurenJohnsonTV: .@memgrizz  @unclejeffgreen rebounds from open heart surgery http://t.co/qVfhaMQbP6
588814247922139137,2015-04-16 21:20:31,RT @GaryParrishCBS: Talking to Grizz forward @UncleJeffGreen now. Listen: http://t.co/y4FfQhBOXy
588342321273577472,2015-04-15 14:05:14,I guess my grand-momma was warning ya boy...SH!T DONT CHANGE TIL YA GET UP AND WASH YA ASS NINJA!!!
586029210743021568,2015-04-09 04:53:46,"RT @aa000G9: ""@ACBarron12: .@aa000G9 and @unclejeffgreen got Shaq acting stupid! #onehop #bestdunk http://t.co/pnOwmD7b3S""😂😂😂"
576108228406300672,2015-03-12 19:51:19,RT @TeamFNV: It makes sense that @unclejeffgreen loves strawberries. Dude can straight JAM. Good to have you on #TeamFNV https://t.co/pWJa3…
575049857943076865,2015-03-09 21:45:44,"Everyone benefits from an equal world. In for equality? Pass it on – #LeanInTogether
http://t.co/8J4IWA0FTo"
571703925704921088,2015-02-28 16:10:12,RT @Marquis_Daniels: Rest Easy Anthony Mason
562511744677847040,2015-02-03 07:23:45,RT @aa000G9: Great team win 💪#GNG.  BIG S/o to @unclejeffgreen  official  GNG stamp!!
558443725597458435,2015-01-23 01:58:54,"Congrats 2 the Big fella @MarcGasol on being named an All-Star starter, well deserved. #GnG #GrizzNation"
489222281101443072,2014-07-16 01:37:35,#RE2PECT #BestShortStopEver #TeamJordan
489065385862258688,2014-07-15 15:14:09,Keyon Dooling @ambassadorkd releases new book What's Driving You? Order today on http://t.co/elhJOCN7zp  
485077390972829698,2014-07-04 15:07:16,HS bball in the DMV will be featured on the new show Fast Break coming in fall of 2014. Thx @marktillmon #DMVSupport
477534881141256192,2014-06-13 19:36:02,"In honor of Father's Day, check this video of my pops &amp; me for #TheCrossover presented by @Sprint https://t.co/H329UDle8u"
472193837088387072,2014-05-30 01:52:38,Man I love me some Charlize Theron
472157929727332352,2014-05-29 23:29:57,"RT @Ath4Hope: Read what pros @TRobinson0, @heathermitts, @emilycook, @unclejeffgreen and more tweeted during #AFHSummer chat: http://t.co/R…"
471780014426296321,2014-05-28 22:28:15,Here's to the next episode. #applebeats http://t.co/tFM22kNzi7
470978728390950915,2014-05-26 17:24:13,http://t.co/rdzFkCYMzX
470705206809079809,2014-05-25 23:17:21,RT @madcitykid18: Saw @unclejeffgreen at the mall today no big deal lol 🏀🏀🏀 #ballislife #305 #Mycity #Miami #BostonCeltics http://t.co/NLOO…
470070367491338240,2014-05-24 05:14:43,"You all about her, and she all about hers"
469952373994303488,2014-05-23 21:25:51,I need EVERYONE to welcome back and follow my big bro @CharleeRedz13_  aka dirty redZ to twitter #DMVbrodie
469903357218283520,2014-05-23 18:11:05,RT @ValerieAzlynn: Yep ;) http://t.co/Zj8CkQm8H0
469532227806953472,2014-05-22 17:36:21,"Thank you @Ath4Hope, for leading a great discussion on summer opportunities for kids! #AFHSummer"
469520603137863680,2014-05-22 16:50:09,@Ath4Hope A7: More summer reading or assisgnments. Will help kids get settled back in school mode and out of summer mode #AFHSummer
469516640288509952,2014-05-22 16:34:24,@Ath4Hope A5: HYDRATION HYDRATION. Kids forget to drink lots of water when being active outside.
469514105007915008,2014-05-22 16:24:20,@Ath4Hope A3: I think it's a huge difference with the way technology has grew. Everything is at ur fingertips. #AFHSummer
469510399109251072,2014-05-22 16:09:36,Join me and @Ath4Hope TODAY at 12-1EST as we talk about keeping kids safe and active this summer. #AFHSummer
468790793591746560,2014-05-20 16:30:09,"Wanna give a special birthday S/O to my ace, my brother @pewingjr6 enjoy ur day brodie."
468790471045554176,2014-05-20 16:28:52,“@daflu22: And the # 1 pick goes to......”whoever gets it duh smh 😒
468583442230161408,2014-05-20 02:46:13,Less is more
468493289294135296,2014-05-19 20:47:59,"RT @ladyinrae: When you find good people, keep them close."
468241924705771520,2014-05-19 04:09:09,😴😴😴
468220728043896833,2014-05-19 02:44:55,😂😂😂 @jtimberlake is a clown
468208618563993600,2014-05-19 01:56:48,Lorde is pop-locking while singing lol...dope song tho
468188813572186113,2014-05-19 00:38:06,“@BigTiggerShow: Lol thought @shakira was bout to have a #wardrobemalfunction! #nipplegate2014 #BBMAs”lmao had me like 👀👀👀
468171012606291970,2014-05-18 23:27:22,You can't hug a rolling stone...
466791247261466625,2014-05-15 04:04:40,"I wish they still had shows like Global Guts, Wild &amp; Crazy Kids and Legends of the Hidden Temple on TV"
466617390625587200,2014-05-14 16:33:49,“@_CMWB: Looking through @unclejeffgreen locker for things my size while he's out of town... 👀😈”u got it Brodie
466217332948623362,2014-05-13 14:04:08,"You're so THOTful, You're so THOTful"
466046495691911168,2014-05-13 02:45:17,"Great game, thought Brooklyn had that game. Who y'all got next: Spurs or Blazers?"
466031436450234368,2014-05-13 01:45:27,“@Dash5Harris: Bron lil low key celebrations after he score be weak..”😂😂😂
466023386687475712,2014-05-13 01:13:28,Mannnn Charles Barkey is a fool lol
466021356182994944,2014-05-13 01:05:24,“@ComedianSpank: Welp jay &amp; bey on the floor at the nets game while us broke folks makin jokes lol”😂😂😂
466020490998714368,2014-05-13 01:01:57,Who was beyonce just talking 2? Lol
465670046778683393,2014-05-12 01:49:25,#SmartPhone dumb ishhh
465616944721584128,2014-05-11 22:18:25,Awwwwsome game
465361755590238208,2014-05-11 05:24:23,#XSCAPE
465348555566489600,2014-05-11 04:31:56,@bananakrackers @bkravzz she got lucky
465347792769413120,2014-05-11 04:28:54,“@100differntones: Yo at @unclejeffgreen you down for 1 one on one or Nah? I'd don't blame ya if you back down I am a beast”go home roger
465347557280202752,2014-05-11 04:27:58,“@itsjenefar: If they ever make another Iron Man movie they should put you in it @unclejeffgreen”I hope so #dreamcometrue
465346900028563457,2014-05-11 04:25:21,"“@lexiebotelho: @AndreaMaria_12 you think @unclejeffgreen will be at the @jtimberlake concert in July 😍😏💚”good chance, love that guy"
465346291846086656,2014-05-11 04:22:56,@Matteo_LaMastra hello 👋
465346111168053248,2014-05-11 04:22:13,“@priscillax12: @unclejeffgreen will I see you at beyonce and jay z at Gillette?!”no a different location
